[      72ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://127.0.0.1:4176/node_modules/.vite/deps/react-dom_client.js?v=84b78edc:20100
[ 4936934ms] [LOG] [vite] server connection lost. Polling for restart... @ http://127.0.0.1:4176/@vite/client:963
[ 5045311ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5048819ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5050912ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5055513ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5060952ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5065247ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5069105ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5073047ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5078990ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5083527ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5087374ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5092089ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5096020ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5099096ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5102471ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5106917ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5112789ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5115998ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5118159ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5123704ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5126235ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5131939ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5134262ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5137924ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5140117ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5143987ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5148596ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5151097ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5156441ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5160638ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5163640ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5169179ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5172443ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5177730ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5183102ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5186959ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5191026ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5194756ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5198277ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5200888ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5206518ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5210596ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5216270ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5222171ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5226568ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5229798ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5234105ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5238731ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5244426ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5247678ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5250319ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5254687ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5260680ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5263864ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5268078ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5272933ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5276318ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5281939ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5284777ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5286997ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5292118ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5295958ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5296962ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5297965ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5298969ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5299973ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5300979ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5301984ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5302992ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5304001ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5305050ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5306135ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5307199ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5308375ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5309608ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5311601ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5314728ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5318170ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5321092ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5324395ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5327526ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5329922ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5335554ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5337726ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5340916ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5345833ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5349072ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5352489ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5354659ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5360597ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5363575ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5368215ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5371300ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5376992ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5382056ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5386270ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5389204ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5392534ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5397566ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5403363ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5405423ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5411144ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5413571ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5417826ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5419843ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5422333ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5424725ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
